sex,length,diameter,shuckedweight,shellweight,class
M,0.455,0.365,0.2245,0.15,15
M,0.35,0.265,0.0995,0.07,7
F,0.53,0.42,0.2565,0.21,9
M,0.44,0.365,0.2155,0.155,10
I,0.33,0.255,0.0895,0.055,7
I,0.425,0.3,0.141,0.12,8
F,0.53,0.415,0.237,0.33,20
F,0.545,0.425,0.294,0.26,16
M,0.475,0.37,0.2165,0.165,9
F,0.55,0.44,0.3145,0.32,19
F,0.525,0.38,0.194,0.21,14
F,0.47,0.355,0.1675,0.185,10
M,0.5,0.4,0.258,0.24,12
I,0.355,0.28,0.095,0.115,7
M,0.365,0.295,0.097,0.1,7
F,0.615,0.48,0.513,0.305,10
M,0.59,0.445,0.356,0.28,12
M,0.605,0.475,0.394,0.295,15
M,0.575,0.425,0.393,0.2,11
M,0.58,0.47,0.3935,0.33,10
F,0.68,0.56,0.6055,0.46,15
F,0.68,0.55,0.815,0.455,19
F,0.705,0.55,0.633,0.49,13
M,0.465,0.355,0.227,0.125,8
F,0.54,0.475,0.5305,0.34,16
F,0.45,0.355,0.237,0.145,8
F,0.575,0.445,0.381,0.26,11
M,0.355,0.29,0.134,0.09,9
F,0.45,0.335,0.1865,0.115,9
F,0.55,0.425,0.362,0.27,14
I,0.24,0.175,0.0315,0.02,5
I,0.205,0.15,0.0255,0.012,5
I,0.39,0.295,0.0875,0.075,7
M,0.47,0.37,0.293,0.14,9
F,0.46,0.375,0.1775,0.15,7
I,0.325,0.245,0.0755,0.045,6
F,0.525,0.425,0.3545,0.245,9
I,0.52,0.41,0.2385,0.19,8
M,0.4,0.32,0.1335,0.1,7
F,0.47,0.36,0.2105,0.15,10
F,0.5,0.4,0.2565,0.22,8
I,0.245,0.19,0.042,0.025,4
F,0.505,0.4,0.246,0.175,7
M,0.45,0.345,0.18,0.135,7
M,0.425,0.325,0.1705,0.1,7
M,0.475,0.355,0.234,0.135,8
F,0.595,0.495,0.416,0.485,13
I,0.31,0.235,0.063,0.045,6
M,0.555,0.425,0.264,0.275,13
F,0.4,0.32,0.1405,0.1,8
F,0.595,0.475,0.48,0.425,20
F,0.6,0.475,0.4425,0.28,15
M,0.595,0.475,0.3625,0.315,9
F,0.555,0.425,0.282,0.285,11
F,0.575,0.445,0.3845,0.285,9
M,0.62,0.51,0.5105,0.675,12
F,0.52,0.425,0.396,0.32,16
M,0.58,0.45,0.38,0.36,14
F,0.57,0.465,0.339,0.44,12
F,0.46,0.355,0.2205,0.165,9
F,0.575,0.45,0.3135,0.33,12
M,0.565,0.425,0.341,0.255,15
M,0.555,0.44,0.307,0.26,12
M,0.595,0.465,0.4015,0.39,13
M,0.695,0.56,0.588,0.485,15
M,0.665,0.535,0.5755,0.48,14
M,0.535,0.435,0.269,0.25,9
M,0.47,0.375,0.214,0.145,8
M,0.47,0.37,0.201,0.165,7
M,0.55,0.435,0.328,0.255,15
M,0.53,0.435,0.316,0.335,15
M,0.53,0.415,0.3105,0.205,10
M,0.605,0.47,0.4975,0.345,12
F,0.52,0.41,0.291,0.235,12
F,0.545,0.43,0.2935,0.28,11
F,0.5,0.4,0.261,0.22,10
F,0.51,0.39,0.231,0.2,9
F,0.435,0.395,0.136,0.13,9
M,0.495,0.395,0.2375,0.155,9
M,0.465,0.36,0.172,0.175,9
I,0.435,0.32,0.1485,0.105,9
M,0.425,0.35,0.13,0.165,9
F,0.545,0.41,0.2975,0.21,11
F,0.53,0.415,0.233,0.18,11
F,0.49,0.375,0.2555,0.22,11
F,0.56,0.43,0.3465,0.31,9
M,0.405,0.305,0.1145,0.085,8
F,0.47,0.365,0.163,0.14,9
F,0.515,0.425,0.304,0.255,14
M,0.37,0.265,0.09,0.07,6
I,0.36,0.28,0.081,0.07,6
I,0.27,0.195,0.0285,0.03,5
M,0.7,0.535,0.63,0.54,19
M,0.71,0.54,0.7665,0.78,18
F,0.44,0.35,0.175,0.129,9
I,0.35,0.26,0.086,0.068,7
I,0.265,0.2,0.04,0.028,7
F,0.425,0.33,0.1635,0.1355,8
F,0.305,0.23,0.0675,0.048,7
M,0.345,0.255,0.094,0.063,9
F,0.405,0.325,0.151,0.117,9
M,0.375,0.285,0.096,0.0925,9
F,0.565,0.445,0.341,0.2475,10
F,0.55,0.45,0.295,0.2665,10
M,0.65,0.52,0.519,0.4465,16
M,0.56,0.455,0.34,0.2425,11
M,0.475,0.375,0.2075,0.17,10
F,0.49,0.38,0.245,0.174,10
M,0.46,0.35,0.224,0.1565,10
I,0.17,0.13,0.013,0.01,4
M,0.59,0.475,0.4415,0.325,15
F,0.635,0.515,0.5065,0.45,10
F,0.605,0.485,0.37,0.355,10
F,0.565,0.45,0.387,0.31,12
M,0.515,0.405,0.32,0.21,10
F,0.575,0.46,0.392,0.34,13
F,0.58,0.455,0.374,0.285,13
F,0.575,0.46,0.2985,0.44,13
F,0.605,0.485,0.53,0.28,13
F,0.725,0.56,0.65,1.005,18
F,0.65,0.545,0.5605,0.815,16
F,0.725,0.575,0.765,0.85,20
F,0.68,0.57,0.625,0.65,20
F,0.68,0.515,0.5125,0.62,12
M,0.695,0.55,0.7125,0.59,14
F,0.53,0.395,0.308,0.255,7
M,0.525,0.435,0.486,0.285,8
I,0.315,0.245,0.053,0.05,8
I,0.225,0.16,0.025,0.015,4
M,0.57,0.48,0.399,0.295,14
F,0.62,0.475,0.4355,0.325,10
F,0.645,0.51,0.621,0.46,12
M,0.62,0.49,0.5455,0.355,13
F,0.63,0.48,0.392,0.285,12
F,0.63,0.48,0.5265,0.315,11
I,0.355,0.275,0.092,0.15,8
F,0.51,0.4,0.459,0.195,10
M,0.5,0.405,0.346,0.245,12
M,0.64,0.5,0.4445,0.465,16
M,0.585,0.46,0.3635,0.285,10
F,0.45,0.345,0.1655,0.135,9
F,0.5,0.4,0.234,0.23,12
M,0.42,0.335,0.171,0.12,8
F,0.44,0.34,0.186,0.16,9
I,0.4,0.3,0.109,0.12,9
I,0.435,0.34,0.1495,0.12,8
F,0.49,0.365,0.1995,0.22,10
M,0.335,0.25,0.0755,0.06,7
F,0.415,0.325,0.1595,0.12,12
M,0.5,0.405,0.241,0.205,9
M,0.55,0.405,0.244,0.255,10
M,0.45,0.35,0.174,0.135,8
M,0.47,0.36,0.1665,0.165,10
F,0.415,0.305,0.1305,0.105,8
F,0.445,0.325,0.1785,0.14,9
F,0.47,0.35,0.187,0.18,11
F,0.49,0.375,0.22,0.19,9
F,0.5,0.37,0.1715,0.155,9
F,0.39,0.29,0.121,0.09,7
I,0.365,0.27,0.078,0.07,7
F,0.58,0.465,0.404,0.35,11
F,0.53,0.415,0.2935,0.245,15
M,0.565,0.44,0.31,0.325,14
M,0.625,0.505,0.496,0.435,22
I,0.275,0.215,0.0485,0.035,7
I,0.295,0.225,0.0485,0.04,9
I,0.13,0.1,0.0045,0.004,3
M,0.565,0.425,0.3495,0.275,17
I,0.27,0.2,0.034,0.035,5
I,0.3,0.23,0.0435,0.04,8
I,0.33,0.255,0.063,0.06,8
I,0.35,0.26,0.0705,0.06,10
