sex,length,diameter,height,wholeweight,shuckedweight,visceraweight,shellweight
M,455,365,95,514,0.2245,101,0.15
M,0.35,265,0.09,0.2255,0.0995,0.0485,0.07
F,0.53,0.42,135,677,0.2565,0.1415,0.21
M,0.44,365,125,516,0.2155,114,155
I,0.33,255,0.08,205,0.0895,0.0395,55
I,425,0.3,95,0.3515,141,0.0775,0.12
F,0.53,415,0.15,0.7775,237,0.1415,0.33
F,545,425,125,768,294,0.1495,0.26
M,475,0.37,125,0.5095,0.2165,0.1125,165
F,0.55,0.44,0.15,0.8945,0.3145,151,0.32
F,525,0.38,0.14,0.6065,194,0.1475,0.21
F,0.47,355,0.1,0.4755,0.1675,0.0805,185
M,0.5,0.4,0.13,0.6645,258,133,0.24
I,355,0.28,85,0.2905,95,0.0395,115
M,365,295,0.08,0.2555,97,43,0.1
F,615,0.48,165,1.1615,513,301,305
M,0.59,445,0.14,931,356,234,0.28
M,605,475,0.18,0.9365,394,219,295
M,575,425,0.14,0.8635,393,227,0.2
M,0.58,0.47,165,0.9975,0.3935,242,0.33
F,0.68,0.56,165,1639,0.6055,0.2805,0.46
F,0.68,0.55,175,1798,815,0.3925,455
F,705,0.55,0.2,1.7095,633,0.4115,0.49
M,465,355,105,0.4795,227,124,125
F,0.54,475,155,1217,0.5305,0.3075,0.34
F,0.45,355,105,0.5225,237,0.1165,145
F,575,445,135,883,381,0.2035,0.26
M,355,0.29,0.09,0.3275,134,86,0.09
F,0.45,335,105,425,0.1865,91,115
F,0.55,425,135,0.8515,362,196,0.27
I,0.24,175,45,0.07,0.0315,0.0235,0.02
I,205,0.15,55,42,0.0255,15,12
I,0.39,295,95,203,0.0875,45,75
M,0.47,0.37,0.12,0.5795,293,227,0.14
F,0.46,375,0.12,0.4605,0.1775,0.11,0.15
I,325,245,0.07,161,0.0755,0.0255,45
F,525,425,0.16,0.8355,0.3545,0.2135,245
I,0.52,0.41,0.12,595,0.2385,111,0.19
M,0.4,0.32,95,303,0.1335,0.06,0.1
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15
F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22
I,245,0.19,0.06,86,42,14,25
F,505,0.4,125,583,246,0.13,175
M,0.45,345,105,0.4115,0.18,0.1125,135
M,425,325,95,0.3785,0.1705,0.08,0.1
M,475,355,0.12,0.48,234,0.1015,135
F,595,495,185,1285,416,224,485
I,0.31,235,0.07,151,63,0.0405,45
M,555,425,0.13,0.7665,264,168,275
F,0.4,0.32,0.11,353,0.1405,0.0985,0.1
F,595,475,0.17,1247,0.48,225,425
F,0.6,475,0.15,1.0075,0.4425,221,0.28
M,595,475,0.14,944,0.3625,189,315
F,555,425,0.14,788,282,0.1595,285
F,575,445,0.14,941,0.3845,252,285
M,0.62,0.51,175,1615,0.5105,192,675
F,0.52,425,165,0.9885,396,225,0.32
