age,workclass,fnlwgt,education,education+AC0-num,marital+AC0-status,occupation,relationship,race,sex,capital+AC0-gain,capital+AC0-loss,hours+AC0-per+AC0-week,native+AC0-country
25,Private,226802,11th,7,Never+AC0-married,Machine+AC0-op+AC0-inspct,Own+AC0-child,Black,Male,0,0,40,United+AC0-States
38,Private,89814,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Farming+AC0-fishing,Husband,White,Male,0,0,50,United+AC0-States
28,Local+AC0-gov,336951,Assoc+AC0-acdm,12,Married+AC0-civ+AC0-spouse,Protective+AC0-serv,Husband,White,Male,0,0,40,United+AC0-States
44,Private,160323,,10,Married+AC0-civ+AC0-spouse,Machine+AC0-op+AC0-inspct,Husband,Black,Male,7688,0,40,United+AC0-States
18,,103497,Some+AC0-college,10,Never+AC0-married,,Own+AC0-child,Asian+AC0-Pac+AC0-Islander,Female,0,0,30,United+AC0-States
34,Private,198693,10th,6,Never+AC0-married,Other+AC0-service,Not+AC0-in+AC0-family,White,Male,0,0,30,United+AC0-States
29,,227026,HS+AC0-grad,9,Never+AC0-married,,Unmarried,Black,Male,0,0,40,United+AC0-States
63,Self+AC0-emp+AC0-not+AC0-inc,104626,Prof+AC0-school,15,Married+AC0-civ+AC0-spouse,Prof+AC0-specialty,Husband,White,Male,3103,0,32,United+AC0-States
24,Private,369667,Some+AC0-college,10,Never+AC0-married,Other+AC0-service,Unmarried,Asian+AC0-Pac+AC0-Islander,Female,0,0,40,United+AC0-States
55,Private,104996,7th+AC0-8th,4,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,Asian+AC0-Pac+AC0-Islander,Male,0,0,10,United+AC0-States
65,Private,184454,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Machine+AC0-op+AC0-inspct,Husband,White,Male,6418,0,40,United+AC0-States
36,Federal+AC0-gov,212465,Bachelors,13,Married+AC0-civ+AC0-spouse,Adm+AC0-clerical,Husband,White,Male,0,0,40,United+AC0-States
26,Private,82091,HS+AC0-grad,9,Never+AC0-married,Adm+AC0-clerical,Not+AC0-in+AC0-family,White,Female,0,0,39,United+AC0-States
58,,299831,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,,Husband,White,Male,0,0,35,United+AC0-States
48,Private,279724,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Machine+AC0-op+AC0-inspct,Husband,Asian+AC0-Pac+AC0-Islander,Male,3103,0,48,United+AC0-States
43,Private,346189,Masters,14,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,0,0,50,United+AC0-States
20,State+AC0-gov,444554,Some+AC0-college,10,Never+AC0-married,Other+AC0-service,Own+AC0-child,White,Male,0,0,25,United+AC0-States
43,Private,128354,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Adm+AC0-clerical,Wife,White,Female,0,0,30,United+AC0-States
37,Private,60548,HS+AC0-grad,9,Widowed,Machine+AC0-op+AC0-inspct,Unmarried,White,Female,0,0,20,United+AC0-States
40,Private,85019,Doctorate,16,Married+AC0-civ+AC0-spouse,Prof+AC0-specialty,Husband,Asian+AC0-Pac+AC0-Islander,Male,0,0,45,
34,Private,107914,Bachelors,13,Married+AC0-civ+AC0-spouse,Tech+AC0-support,Husband,White,Male,0,0,47,United+AC0-States
34,Private,238588,Some+AC0-college,10,Never+AC0-married,Other+AC0-service,Own+AC0-child,Black,Female,0,0,35,United+AC0-States
72,,132015,7th+AC0-8th,4,Divorced,,Not+AC0-in+AC0-family,White,Female,0,0,6,United+AC0-States
25,Private,220931,Bachelors,13,Never+AC0-married,Prof+AC0-specialty,Not+AC0-in+AC0-family,White,Male,0,0,43,Peru
25,Private,205947,Bachelors,13,Married+AC0-civ+AC0-spouse,Prof+AC0-specialty,Husband,White,Male,0,0,40,United+AC0-States
45,Self+AC0-emp+AC0-not+AC0-inc,432824,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,White,Male,7298,0,90,United+AC0-States
22,Private,236427,HS+AC0-grad,9,Never+AC0-married,Adm+AC0-clerical,Own+AC0-child,White,Male,0,0,20,United+AC0-States
23,Private,134446,HS+AC0-grad,9,Separated,Machine+AC0-op+AC0-inspct,Unmarried,Black,Male,0,0,54,United+AC0-States
54,Private,99516,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,White,Male,0,0,35,United+AC0-States
32,Self+AC0-emp+AC0-not+AC0-inc,109282,Some+AC0-college,10,Never+AC0-married,Prof+AC0-specialty,Not+AC0-in+AC0-family,White,Male,0,0,60,United+AC0-States
46,State+AC0-gov,106444,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,Black,Male,7688,0,38,United+AC0-States
56,Self+AC0-emp+AC0-not+AC0-inc,186651,11th,7,Widowed,Other+AC0-service,Unmarried,White,Female,0,0,50,United+AC0-States
24,Self+AC0-emp+AC0-not+AC0-inc,188274,Bachelors,13,Never+AC0-married,Sales,Not+AC0-in+AC0-family,White,Male,0,0,50,United+AC0-States
23,Local+AC0-gov,258120,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Protective+AC0-serv,Husband,White,Male,0,0,40,United+AC0-States
26,Private,43311,HS+AC0-grad,9,Divorced,Exec+AC0-managerial,Unmarried,White,Female,0,0,40,United+AC0-States
65,,191846,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,,Husband,White,Male,0,0,40,United+AC0-States
